"","site_id","date","filename","species","begin_clock_time_hms","nauticalDawn","sunrise","peak_freq","vert_strat","relative_onset_times","scientific_name","common_name","ebird_residuals","foraging_habit","territoriality","mass","trophic_niche","season"
"641","SEL107R",2020-05-04,"20200504_055000.WAV","ASDR",05:53:37,05:17:04,2020-05-04 06:04:44,4500,5,36.55,"Dicrurus leucophaeus","Ashy Drongo",0.188423297727862,"CAN","Highly territorial",37.6,"Invertivore","summer"
"642","INME03R",2020-05-08,"20200508_055000.WAV","NIFP",05:53:42,05:15:39,2020-05-08 06:03:38,6562.5,7,38.05,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"643","SEL107R",2020-05-04,"20200504_055000.WAV","AFBL",05:53:42,05:17:04,2020-05-04 06:04:44,3656.25,5,36.6333333333333,"Irena puella","Asian Fairy-bluebird",0.0829870439781862,"CAN","Weakly territorial",64.9,"Frugivore","summer"
"644","STIN02R",2020-05-02,"20200502_055000.WAV","STBU",05:53:44,05:17:54,2020-05-02 06:05:24,3750,5,35.8333333333333,"Hypsipetes ganeesa","Square-tailed Bulbul",-0.0457137112381185,"CAN","Weakly territorial",51.8,"Frugivore","summer"
"645","INOA03R",2020-03-15,"20200315_055000.WAV","GRJU",05:53:45,05:45:15,2020-03-15 06:30:40,1406.25,5,8.5,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"646","STIN02U",2020-05-02,"20200502_055000.WAV","RESP",05:53:45,05:17:54,2020-05-02 06:05:24,1968.75,4,35.85,"Galloperdix spadicea","Red Spurfowl",-0.143238631683587,"GRD","Highly territorial",359.1,"Omnivore","summer"
"647","UPMAP3B",2020-03-28,"20200328_055000.WAV","GRTD",05:53:45,05:37:28,2020-03-28 06:23:01,1781.25,7,16.2833333333333,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"648","STIN02R",2020-05-06,"20200506_055000.WAV","NIFP",05:53:46,05:16:21,2020-05-06 06:04:10,6093.75,5,37.4166666666667,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"649","UPMAP4B",2020-03-28,"20200328_055000.WAV","GRTD",05:53:46,05:37:29,2020-03-28 06:23:01,4218.75,8,16.2833333333333,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"650","INBS04R",2020-03-24,"20200324_055000.WAV","STBU",05:53:47,05:39:50,2020-03-24 06:25:18,2812.5,6,13.95,"Hypsipetes ganeesa","Square-tailed Bulbul",-0.0457137112381185,"CAN","Weakly territorial",51.8,"Frugivore","summer"
